"Code","Year","Improved.water.source....of.population.with.access.","Population.with.access.to.improved.water.source","Population.without.access.to.improved.water.source","Entity"
"SYR",2006,88.9,16815415,2099562,"Syria"
"SYR",2007,89.1,17492830,2139976,"Syria"
"SYR",2008,89.3,18150621,2174822,"Syria"
"SYR",2009,89.5,18638279,2186614,"Syria"
"SYR",2010,89.7,18853894,2164940,"Syria"
"SYR",2011,89.9,18756730,2107263,"Syria"
"SYR",2012,90.1,18399052,2021649,"Syria"
"SYR",2013,90.1,17848036,1961105,"Syria"
"SYR",2014,90.1,17301984,1901106,"Syria"
"SYR",2015,90.1,16880223,1854764,"Syria"
"TUN",1995,86.5,7883588,1230387,"Tunisia"
"TUN",1996,87.2,8071264,1184773,"Tunisia"
"TUN",1997,87.9,8248670,1135482,"Tunisia"
"TUN",1998,88.6,8416464,1082931,"Tunisia"
"TUN",1999,89.2,8566538,1037204,"Tunisia"
"TUN",2000,89.9,8719578,979619,"Tunisia"
"TUN",2001,90.5,8856059,929642,"Tunisia"
"TUN",2002,91.1,8986401,877925,"Tunisia"
"TUN",2003,91.8,9124624,815054,"Tunisia"
"TUN",2004,92.4,9256263,761338,"Tunisia"
"TUN",2005,92.9,9385206,717276,"Tunisia"
"TUN",2006,93.5,9533387,662749,"Tunisia"
"TUN",2007,94.1,9690500,607587,"Tunisia"
"TUN",2008,94.7,9855747,551589,"Tunisia"
"TUN",2009,95.2,10016786,505048,"Tunisia"
"TUN",2010,95.8,10193054,446877,"Tunisia"
"TUN",2011,96.3,10363293,398174,"Tunisia"
"TUN",2012,96.9,10549181,337487,"Tunisia"
"TUN",2013,97.3,10717165,297393,"Tunisia"
"TUN",2014,97.7,10887598,256310,"Tunisia"
"TUN",2015,97.7,11014367,259294,"Tunisia"
"TUR",1995,89.2,52169852,6316529,"Turkey"
"TUR",1996,89.9,53421464,6001744,"Turkey"
"TUR",1997,90.6,54697484,5675015,"Turkey"
"TUR",1998,91.2,55932586,5397004,"Turkey"
"TUR",1999,91.9,57242053,5045273,"Turkey"
"TUR",2000,92.6,58560352,4679769,"Turkey"
"TUR",2001,93.2,59826454,4365020,"Turkey"
"TUR",2002,93.8,61104185,4038869,"Turkey"
"TUR",2003,94.5,62451084,3634719,"Turkey"
"TUR",2004,95.1,63724470,3283385,"Turkey"
"TUR",2005,95.7,64983560,2919846,"Turkey"
"TUR",2006,96.3,66219159,2544246,"Turkey"
"TUR",2007,96.9,67439765,2157516,"Turkey"
"TUR",2008,97.5,68679031,1761001,"Turkey"
"TUR",2009,98,69912401,1426784,"Turkey"
"TUR",2010,98.6,71314337,1012577,"Turkey"
"TUR",2011,99.1,72748770,660685,"Turkey"
"TUR",2012,99.5,74197018,372849,"Turkey"
"TUR",2013,99.8,75635758,151575,"Turkey"
"TUR",2014,100,77030628,0,"Turkey"
"TUR",2015,100,78271472,0,"Turkey"
"ZAF",1995,84,34798520,6628290,"South Africa"
"ZAF",1996,84.5,35667633,6542583,"South Africa"
"ZAF",1997,85,36483280,6438226,"South Africa"
"ZAF",1998,85.5,37264346,6319684,"South Africa"
"ZAF",1999,86,38041008,6192722,"South Africa"
"ZAF",2000,86.5,38835780,6061076,"South Africa"
"ZAF",2001,87,39422255,5890682,"South Africa"
"ZAF",2002,87.4,40077692,5777791,"South Africa"
"ZAF",2003,87.9,40801592,5616601,"South Africa"
"ZAF",2004,88.4,41549504,5452197,"South Africa"
"ZAF",2005,88.9,42322330,5284340,"South Africa"
"ZAF",2006,89.4,43121021,5112783,"South Africa"
"ZAF",2007,89.8,43897693,4986152,"South Africa"
"ZAF",2008,90.3,44750489,4807085,"South Africa"
"ZAF",2009,90.7,45582022,4673791,"South Africa"
"ZAF",2010,91.1,46442263,4537169,"South Africa"
"ZAF",2011,91.6,47384080,4345265,"South Africa"
"ZAF",2012,92,48305994,4200521,"South Africa"
"ZAF",2013,92.4,49260247,4051709,"South Africa"
"ZAF",2014,92.8,50248170,3898565,"South Africa"
"ZAF",2015,93.2,51271162,3740814,"South Africa"
